TIME,SOFT_XRAY,HARD_XRAY
485,129.0,0.0
486,120.0,0.0
487,121.0,0.0
488,125.0,0.0
489,130.0,127.0
490,138.0,117.0
491,130.0,0.0
492,139.0,0.0
493,122.0,0.0
494,126.0,0.0
495,140.0,0.0
496,119.0,154.0
497,125.0,0.0
498,134.0,0.0
499,134.0,0.0
500,107.0,0.0
501,122.0,0.0
502,93.0,0.0
503,129.0,0.0
504,94.0,0.0
505,126.0,121.0
506,121.0,0.0
507,137.0,0.0
508,132.0,0.0
509,120.0,0.0
510,136.0,0.0
511,124.0,0.0
512,138.0,0.0
513,130.0,226.0
514,139.0,0.0
515,127.0,0.0
516,131.0,0.0
517,103.0,0.0
518,121.0,0.0
519,148.0,0.0
520,114.0,0.0
521,124.0,196.0
522,117.0,0.0
523,125.0,0.0
524,117.0,0.0
525,133.0,0.0
526,103.0,0.0
527,94.0,0.0
528,127.0,0.0
529,136.0,154.0
530,126.0,0.0
531,137.0,0.0
532,128.0,0.0
533,127.0,0.0
534,135.0,0.0
535,123.0,0.0
536,138.0,142.0
537,105.0,0.0
538,136.0,0.0
539,111.0,0.0
540,112.0,0.0
541,114.0,0.0
542,117.0,0.0
543,107.0,0.0
544,110.0,0.0
545,110.0,216.0
546,98.0,0.0
547,135.0,0.0
548,122.0,0.0
549,120.0,0.0
550,128.0,0.0
551,128.0,0.0
552,124.0,164.0
553,119.0,58.0
554,116.0,0.0
555,109.0,0.0
556,113.0,0.0
557,111.0,0.0
558,121.0,0.0
559,122.0,0.0
560,117.0,46.0
561,119.0,169.0
562,121.0,0.0
563,128.0,0.0
564,120.0,0.0
565,128.0,0.0
566,108.0,0.0
567,96.0,0.0
568,106.0,171.0
569,119.0,0.0
570,126.0,0.0
571,125.0,0.0
572,118.0,0.0
573,124.0,0.0
574,121.0,0.0
575,128.0,0.0
576,127.0,242.0
577,102.0,0.0
578,124.0,0.0
579,114.0,0.0
580,119.0,0.0
581,130.0,0.0
582,123.0,0.0
583,127.0,0.0
584,128.0,186.0
585,120.0,0.0
586,132.0,0.0
587,123.0,0.0
588,143.0,0.0
589,119.0,0.0
590,136.0,0.0
591,125.0,0.0
592,118.0,212.0
593,141.0,0.0
594,123.0,0.0
595,139.0,0.0
596,119.0,0.0
597,104.0,0.0
598,123.0,0.0
599,113.0,72.0
600,116.0,127.0
601,104.0,0.0
602,114.0,0.0
603,137.0,0.0
604,126.0,0.0
605,113.0,0.0
606,137.0,198.0
607,121.0,0.0
608,119.0,0.0
609,116.0,0.0
610,119.0,0.0
611,131.0,0.0
612,127.0,0.0
613,112.0,0.0
614,126.0,0.0
615,127.0,170.0
616,117.0,0.0
617,124.0,0.0
618,124.0,0.0
619,126.0,0.0
620,119.0,0.0
621,156.0,0.0
622,142.0,0.0
623,131.0,160.0
624,115.0,0.0
625,133.0,0.0
626,113.0,0.0
627,103.0,0.0
628,135.0,0.0
629,122.0,0.0
630,118.0,0.0
631,110.0,49.0
632,113.0,180.0
633,118.0,0.0
634,128.0,0.0
635,129.0,0.0
636,116.0,0.0
637,114.0,207.0
638,138.0,69.0
639,143.0,0.0
640,94.0,0.0
641,129.0,0.0
642,109.0,0.0
643,115.0,0.0
644,118.0,0.0
645,147.0,110.0
646,116.0,0.0
647,149.0,0.0
648,120.0,0.0
649,123.0,0.0
