TIME,SOFT_XRAY,HARD_XRAY
25588,4.0,0.0
25589,4.0,0.0
25590,1.0,0.0
25591,1.0,0.0
25592,3.0,0.0
25593,1.0,0.0
25594,6.0,179.0
25595,3.0,0.0
25596,3.0,0.0
25597,4.0,0.0
25598,2.0,0.0
25599,5.0,0.0
25600,5.0,0.0
25601,4.0,0.0
25602,3.0,157.0
25603,6.0,33.0
25604,2.0,0.0
25605,4.0,0.0
25606,1.0,0.0
25607,2.0,0.0
25608,2.0,0.0
25609,8.0,62.0
25610,5.0,203.0
25611,5.0,0.0
25612,3.0,0.0
25613,1.0,0.0
25614,2.0,0.0
25615,5.0,0.0
25616,6.0,233.0
25617,4.0,32.0
25618,5.0,0.0
25619,5.0,0.0
25620,5.0,0.0
25621,2.0,0.0
25622,2.0,0.0
25623,4.0,0.0
25624,5.0,0.0
25625,5.0,134.0
25626,6.0,0.0
25627,4.0,0.0
25628,2.0,0.0
25629,8.0,0.0
25630,5.0,0.0
25631,1.0,0.0
25632,2.0,184.0
25633,0.0,0.0
25634,1.0,0.0
25635,6.0,0.0
25636,3.0,0.0
25637,4.0,0.0
25638,3.0,0.0
25639,5.0,0.0
25640,5.0,0.0
25641,1.0,237.0
25642,5.0,0.0
25643,3.0,0.0
25644,4.0,0.0
25645,3.0,0.0
25646,4.0,0.0
25647,5.0,0.0
25648,3.0,0.0
25649,4.0,161.0
25650,0.0,0.0
25651,5.0,0.0
25652,6.0,0.0
25653,2.0,0.0
25654,4.0,0.0
25655,5.0,0.0
25656,2.0,223.0
25657,0.0,0.0
25658,2.0,0.0
25659,1.0,0.0
25660,7.0,0.0
25661,0.0,0.0
25662,8.0,0.0
25663,2.0,0.0
25664,3.0,0.0
25665,2.0,189.0
25666,6.0,0.0
25667,4.0,0.0
25668,4.0,0.0
25669,1.0,0.0
25670,3.0,0.0
25671,1.0,0.0
25672,8.0,151.0
25673,0.0,0.0
25674,4.0,0.0
25675,4.0,0.0
25676,1.0,0.0
25677,3.0,0.0
25678,3.0,0.0
25679,3.0,0.0
25680,1.0,204.0
25681,3.0,0.0
25682,4.0,0.0
25683,3.0,0.0
25684,3.0,0.0
25685,4.0,0.0
25686,5.0,0.0
25687,7.0,0.0
25688,8.0,0.0
25689,2.0,127.0
25690,6.0,0.0
25691,2.0,0.0
25692,4.0,0.0
25693,3.0,0.0
25694,2.0,0.0
25695,3.0,0.0
25696,4.0,242.0
25697,7.0,0.0
25698,5.0,0.0
25699,4.0,0.0
25700,7.0,0.0
25701,3.0,0.0
25702,3.0,0.0
25703,9.0,0.0
25704,6.0,0.0
25705,1.0,146.0
25706,4.0,28.0
25707,7.0,0.0
25708,3.0,0.0
25709,6.0,0.0
25710,2.0,0.0
25711,5.0,0.0
25712,4.0,147.0
25713,0.0,143.0
25714,3.0,0.0
25715,8.0,0.0
25716,4.0,0.0
25717,3.0,0.0
25718,11.0,0.0
25719,2.0,189.0
25720,3.0,0.0
25721,5.0,0.0
25722,4.0,0.0
25723,4.0,0.0
25724,5.0,0.0
25725,3.0,0.0
25726,5.0,0.0
25727,6.0,0.0
25728,3.0,202.0
25729,5.0,0.0
25730,2.0,0.0
25731,8.0,0.0
25732,6.0,0.0
25733,3.0,0.0
25734,5.0,0.0
25735,5.0,0.0
25736,2.0,161.0
25737,4.0,0.0
25738,3.0,0.0
25739,4.0,0.0
25740,4.0,0.0
25741,6.0,0.0
25742,5.0,0.0
25743,3.0,225.0
25744,5.0,0.0
25745,3.0,0.0
25746,3.0,0.0
25747,5.0,0.0
25748,3.0,0.0
25749,6.0,0.0
25750,7.0,0.0
25751,6.0,0.0
25752,6.0,175.0
25753,3.0,0.0
25754,4.0,0.0
25755,5.0,0.0
25756,5.0,0.0
25757,3.0,0.0
25758,2.0,0.0
25759,4.0,148.0
25760,5.0,0.0
25761,7.0,0.0
25762,0.0,0.0
25763,4.0,0.0
25764,5.0,0.0
25765,4.0,0.0
25766,3.0,0.0
25767,1.0,0.0
25768,1.0,185.0
25769,5.0,0.0
25770,4.0,0.0
25771,2.0,0.0
25772,3.0,0.0
25773,3.0,0.0
25774,2.0,0.0
25775,4.0,0.0
25776,2.0,166.0
25777,2.0,0.0
25778,1.0,0.0
25779,5.0,0.0
25780,9.0,0.0
25781,2.0,0.0
25782,4.0,0.0
25783,0.0,81.0
25784,9.0,69.0
25785,8.0,0.0
25786,5.0,0.0
25787,2.0,0.0
25788,7.0,0.0
25789,3.0,0.0
25790,3.0,0.0
25791,2.0,0.0
25792,1.0,171.0
25793,4.0,0.0
25794,5.0,66.0
25795,7.0,309.0
